Attendorn-Hohen Hagen;Hohen Hagen-Attend.;;;;;8087039
Au im Murgtal;;;;;;8000643
Au(Sieg);Windeck-Au(Sieg);;;;;8000012
Aue-Wingeshausen;Bad Berleburg-Aue-Wi;;;;;8000647
Aue(Sachs);AU-;;;;;8010010
Aue(Sachs) Erzgebirgsstadion;;;;;;8010027
Auehütte;;;;;;8011057
Auerbach(b Mosbach, Baden);Elztal-Auerbach;;;;;8000649
Auerbach(V) ob Bf;;;;;;8010011
Auerbach(V) unt Bf;AE;;;;;8010012
Auerbach(Vogtl) Hp;;;;;;8011059
Auerstedt;;;;;;8011060
Aufhausen(b Erding);;;;;;8000653
Aufhausen(Württ);;;;;;8000655
Auggen;;;;;;8000657
Augsburg Haunstetterstraße;;;;;;8000658
Augsburg Hbf;A;Augsbourg;;;;8000013
Augsburg Messe;;;;;;8000659
Augsburg Morellstr.;;;;;;8000660
Augsburg-Hochzoll;;;;;;8000661
Augsburg-Oberhausen;;;;;;8000662
Augustfehn;Apen-Augustfehn;;;;;8000664
Augustusburg Bergstation;;;;;;8080060
Aukrug;;;;;;8003078
Aulendorf;;;;;;8000014
Aumenau;Villmar-Aumenau;;;;;8000668
Aumühle;;;;;;8000669
Auringen-Medenbach;Wiesbaden-Auringen-M;;;;;8000671
Außenried;;;;;;8000672
Auw an der Kyll;;;;;;8000674
Aying;;;;;;8000675
Baabe;;;;;;8011063
Baalberge;;;;;;8010013
Baar-Ebenhausen;;;;;;8000678
Babenhausen Langstadt;Langstadt Babenhaus.;;;;;8003559
Babenhausen(Hess);;;;;;8000015
Babstadt;Bad Rappenau-Babstad;;;;;8000681
Bacharach;;;;;;8000683
Bacharach KD;;;;;;8075964
Bachern;;;;;;8000685
Bachfeld;;;;;;8011065
Bachheim;Löffingen-Bachheim;;;;;8000686
Backnang;BK;;;;;8000016
Bad Abbach;Abbach Bad;;;;;8000689
Bad Aibling;AIB;Aibling Bad;;;;8000690
